table,source,rows,row_bytes,f32_slots,file_bytes,datastart,longdata,error
AccountParam,van,181,16,4,7325,4408,True,
ActionButtonParam,van,144,112,28,19674,3520,True,
AiSoundParam,van,34,32,8,1990,880,True,
AnimMoveCorrectionParam,van,22,64,16,2034,592,True,
ArchiveParam,van,57,128,32,8746,1432,True,
ArenaParam,van,42,96,24,5123,1072,True,
AssetEnvironmentGeometryParam,van,5116,344,86,1882781,122848,True,
AssetMaterialSfxParam,van,44,128,32,6784,1120,True,
AssetModelSfxParam,van,364,128,32,55421,8800,True,
AssetTranscriptionParam,van,288,24,6,13921,6976,True,
AtkNpcOperationPartsParam,van,45,32,8,2621,1144,True,
AtkOperationPartsParam,van,94,48,12,6865,2320,True,
AtkParam_Npc,van,1748,1040,260,1861685,42016,True,
AtkParam_Pc,van,712,1040,260,757649,17152,True,
AttachObj_Npc,van,29,544,136,16560,760,True,
AttachObj_Pc,van,4,544,136,2360,160,True,
AttackActionParam_NPC,van,1371,100,25,170095,32968,True,
AttackActionParam_PC,van,418,100,25,51923,10096,True,
AutoAssembleEvaluate,van,20,16,4,885,544,True,
BehaviorChangeStateMatrixParam,van,227,32,8,12818,5512,True,
BehaviorParam,van,3069,208,52,712094,73720,True,
BehaviorParam_PC,van,722,208,52,167590,17392,True,
BladeHomingAngSpeedParam,van,177,64,16,15676,4312,True,
BladeHomingAutoCancelEnableParam,van,38,60,15,3301,976,True,
BladeHomingParam,van,10,64,16,970,304,True,
BonfireWarpParam,van,15,32,8,930,424,True,
BoostParam,van,2,128,32,387,112,True,
BudgetParam,van,1,136,34,240,88,True,
Bullet,van,568,888,222,518100,13696,True,
BulletCreateLimitParam,van,2,32,8,209,112,True,
BulletShotgunParam_NPC,van,91,444,111,42680,2248,True,
BulletShotgunParam_PC,van,81,444,111,38000,2008,True,
Bullet_Npc,van,2539,888,222,2318172,61000,True,
BuoyancyParam,van,4,40,10,342,160,True,
CalcCorrectGraph,van,169,80,20,17666,4120,True,
CartridgeBehaviorParam,van,78,72,18,7584,1936,True,
CharaInitParam,van,802,404,101,343345,19312,True,
ChrActTurnParam,van,258,168,42,49626,6256,True,
ChrActTurnParam_Npc,van,2124,168,42,407898,51040,True,
ChrHitMaterialCheckParam,van,2,256,64,660,112,True,
ChrModelParam,van,62,12,3,2359,1552,True,
ChrProxyPhysicsParam,van,1,72,18,183,88,True,
CompanyContributePointParam,van,26,32,8,1557,688,True,
CoolTimeParam,van,40,32,8,2327,1024,True,
CutsceneGparamTimeParam,van,4,12,3,213,160,True,
CutsceneGparamWeatherParam,van,1,40,10,161,88,True,
CutsceneMapIdParam,van,74,52,13,5763,1840,True,
CutsceneReplaceSfxParam,van,38,4,1,1162,976,True,
CutsceneTimezoneConvertParam,van,7,12,3,324,232,True,
CylinderParam,van,95,64,16,8446,2344,True,
DamageLevelConvParam,van,132,256,64,37055,3232,True,
DamageLevelConvThresholdParam,van,57,208,52,13329,1432,True,
DecalParam,van,248,252,63,68531,6016,True,
DefaultKeyAssignParam,van,84,32,8,4792,2080,True,
DefaultKeyAssignParam01,van,84,32,8,4792,2080,True,
DefaultKeyAssignParam02,van,84,32,8,4792,2080,True,
Depthline,van,4,64,16,434,160,True,
DirectionCameraParam,van,6,20,5,335,208,True,
ENAutoRecoveryControlParam,van,2,160,40,480,112,True,
EmblemPieceSpec,van,997,16,4,39969,23992,True,
EnemyCommonParam,van,1,264,66,370,88,True,
EquipMtrlSetParam,van,28,52,13,2220,736,True,
EquipParamAccessory,van,43,100,25,5440,1096,True,
EquipParamBooster,van,23,384,96,9472,616,True,
EquipParamFcs,van,19,208,52,4492,520,True,
EquipParamGenerator,van,24,340,85,8825,640,True,
EquipParamGoods,van,218,140,35,35841,5296,True,
EquipParamProtector,van,121,900,225,111990,2968,True,
EquipParamWeapon,van,284,1556,389,449069,6880,True,
EquipParamWeapon_Npc,van,813,1104,276,917154,19576,True,
