table,rows,row_bytes,f32_slots,file_bytes,datastart,longdata
TentativePlayerParam,2,2112,528,4366,112,True
NpcParam,1232,1920,480,2396305,29632,True
EquipParamWeapon,284,1556,389,449069,6880,True
EquipParamWeapon_Npc,813,1104,276,917154,19576,True
AtkParam_Npc,1748,1040,260,1861685,42016,True
AtkParam_Pc,712,1040,260,757649,17152,True
MovementAcTypeParam,19,964,241,18856,520,True
SpEffectParam,4120,956,239,4037687,98944,True
EquipParamProtector,121,900,225,111990,2968,True
Bullet,568,888,222,518100,13696,True
Bullet_Npc,2539,888,222,2318172,61000,True
FootSfxParam,26,844,211,22654,688,True
GameSystemParam,1,712,178,817,88,True
ThrustersParam_PC,103,700,175,74662,2536,True
MovementEnemyTypeParam,216,688,172,153889,5248,True
NpcEquipPartsParam,137,612,153,87225,3352,True
AttachObj_Npc,29,544,136,16560,760,True
AttachObj_Pc,4,544,136,2360,160,True
BulletShotgunParam_NPC,91,444,111,42680,2248,True
BulletShotgunParam_PC,81,444,111,38000,2008,True
MenuParam,1,424,106,530,88,True
NpcThinkParam,1178,416,104,518407,28336,True
CharaInitParam,802,404,101,343345,19312,True
NetworkParam,1,392,98,497,88,True
PlayerColoringPresetParam,6,392,98,2587,208,True
ThrustersParam_NPC,501,388,97,206503,12088,True
EquipParamBooster,23,384,96,9472,616,True
LockCamParam,98,376,94,39286,2416,True
MissionParam,111,352,88,41912,2728,True
AssetEnvironmentGeometryParam,5116,344,86,1882781,122848,True
EquipParamGenerator,24,340,85,8825,640,True
ThrustersLocomotionParam_PC,74,272,68,22005,1840,True
EnemyCommonParam,1,264,66,370,88,True
GrassTypeParam,51,264,66,14776,1288,True
ChrHitMaterialCheckParam,2,256,64,660,112,True
DamageLevelConvParam,132,256,64,37055,3232,True
LookAtSpineParam,138,256,64,38731,3376,True
DecalParam,248,252,63,68531,6016,True
HitEffectSfxParam,71,240,60,18836,1768,True
BehaviorParam,3069,208,52,712094,73720,True
BehaviorParam_PC,722,208,52,167590,17392,True
DamageLevelConvThresholdParam,57,208,52,13329,1432,True
EquipParamFcs,19,208,52,4492,520,True
GraphicsParam,1,200,50,306,88,True
GarageCameraAnimParam,7,196,49,1636,232,True
ShootReboundParam,51,196,49,11311,1288,True
SpEffectVfxParam,791,196,49,174111,19048,True
OsReinforce,20,172,43,4010,544,True
ChrActTurnParam,258,168,42,49626,6256,True
ChrActTurnParam_Npc,2124,168,42,407898,51040,True
JigglerBaseParam,351,164,41,66078,8488,True
ENAutoRecoveryControlParam,2,160,40,480,112,True
ItemLotParam,291,156,39,52465,7048,True
NetworkMsgParam,55,144,36,9329,1384,True
PartsDrawParam,152,144,36,25624,3712,True
PartsDrawParam_ps4,152,144,36,25624,3712,True
PartsDrawParam_ps5,152,144,36,25624,3712,True
PartsDrawParam_scarlett,152,144,36,25624,3712,True
PartsDrawParam_xb1,152,144,36,25624,3712,True
EquipParamGoods,218,140,35,35841,5296,True
BudgetParam,1,136,34,240,88,True
FootIKSetupParam,86,132,33,13507,2128,True
ReinforceParamWeapon,464,132,33,72478,11200,True
ThrowParam,131,132,33,20519,3208,True
WepAbsorpPosParam,13,132,33,2106,376,True
ArchiveParam,57,128,32,8746,1432,True
AssetMaterialSfxParam,44,128,32,6784,1120,True
AssetModelSfxParam,364,128,32,55421,8800,True
BoostParam,2,128,32,387,112,True
HitEffectSfxConceptParam,64,128,32,9828,1600,True
LoadBalancerDrawDistScaleParam,22,128,32,3451,592,True
LoadBalancerDrawDistScaleParam_ps4,48,128,32,7403,1216,True
LoadBalancerDrawDistScaleParam_ps5,22,128,32,3451,592,True
LoadBalancerDrawDistScaleParam_xb1,46,128,32,7099,1168,True
LoadBalancerDrawDistScaleParam_xb1x,22,128,32,3451,592,True
LoadBalancerDrawDistScaleParam_xss,22,128,32,3451,592,True
LoadBalancerDrawDistScaleParam_xsx,22,128,32,3451,592,True
MailParam,46,128,32,7103,1168,True
RoleParam,33,128,32,5098,856,True
LookAtParam,469,124,31,69497,11320,True
LookAtParam_Npc,993,124,31,147049,23896,True
ActionButtonParam,144,112,28,19674,3520,True
MovementFlyEnemyParam,10,112,28,1435,304,True
MenuPropertySpecParam,508,108,27,67142,12256,True
PartsBreakParam,1,104,26,193,88,True
AttackActionParam_NPC,1371,100,25,170095,32968,True
AttackActionParam_PC,418,100,25,51923,10096,True
EquipParamAccessory,43,100,25,5440,1096,True
ArenaParam,42,96,24,5123,1072,True
HitMtrlParam,45,96,24,5486,1144,True
MaterialExParam,212,96,24,25529,5152,True
PlayRegionParam,6,96,24,809,208,True
ShieldParam_Npc,5,96,24,684,184,True
ShieldParam_Pc,2,96,24,324,112,True
RigidBodyParam,17,88,22,1992,472,True
SubWindowCamParam,2,88,22,316,112,True
PadRumble,174,84,21,18883,4240,True
CalcCorrectGraph,169,80,20,17666,4120,True
GarageCutsceneParam,3,80,20,405,136,True
JigglerBehaviorSlideParam,33,80,20,3532,856,True
KnockBackParam,4,80,20,503,160,True
LoadBalancerParam,33,80,20,3523,856,True
Magic,151,80,20,15787,3688,True
MenuOffscrRendParam,140,80,20,14654,3424,True
CartridgeBehaviorParam,78,72,18,7584,1936,True
ChrProxyPhysicsParam,1,72,18,183,88,True
SoundParam,1,72,18,175,88,True
MovementRideObjParam,3,68,17,344,136,True
ReinforceParamProtector,17,68,17,1646,472,True
AnimMoveCorrectionParam,22,64,16,2034,592,True
BladeHomingAngSpeedParam,177,64,16,15676,4312,True
BladeHomingParam,10,64,16,970,304,True
CylinderParam,95,64,16,8446,2344,True
Depthline,4,64,16,434,160,True
FeFreeDialogParam,31,64,16,2819,808,True
FootIKParam,68,64,16,6069,1696,True
HandIKParam,47,64,16,4221,1192,True
InteractiveSmokeParam,2,64,16,271,112,True
JigglerBehaviorParam,49,64,16,4406,1240,True
JigglerBehaviorTargetBoneRateParam,42,64,16,3807,1072,True
MissionSystemMsgCommonParam,21,64,16,1948,568,True
NpcArenaGameEffectParam,1,64,16,183,88,True
PlayerMaterialPresetParam,46,64,16,4148,1168,True
ReTargetAnimSetParam,35,64,16,3175,904,True
RuntimeSoundParam_Npc,260,64,16,22945,6304,True
RuntimeSoundParam_Pc,165,64,16,14585,4024,True
SoundVoiceBankLoad,66,64,16,5910,1648,True
TalkParam,6013,64,16,529226,144376,True
TankBaseParam,8,64,16,788,256,True
BladeHomingAutoCancelEnableParam,38,60,15,3301,976,True
NpcPartsParam,110,60,15,9327,2704,True
LoadBalancerNewDrawDistScaleParam_ps5,1,56,14,183,88,True
LoadBalancerNewDrawDistScaleParam_xss,1,56,14,183,88,True
LoadBalancerNewDrawDistScaleParam_xsx,1,56,14,183,88,True
PhantomParam,66,56,14,5365,1648,True
