table,verdict,rows,rowsize,def,def_match,max_nonzero_rate,fk_field,fk_space,fk_hit,fk_samples,fk_rate,fk_unique,fk_narrow_rate,deprecated_field_count,fk_skipped_deprecated
AccountParam,IN_USE,181,16,AccountParam,name+size,0.9945,,,0,0,,0,,0,
ActionButtonParam,IN_USE,144,112,ActionButtonParam,name+size,1.0000,,,0,0,,0,,0,
AiSoundParam,IN_USE,34,32,AiSoundParam,name+size,1.0000,,,0,0,,0,,0,
AnimMoveCorrectionParam,IN_USE,22,64,AnimMoveCorrectionParam,name+size,0.9545,charaId,CHR,21,21,1.0000,1,1.0000,0,
ArchiveParam,NO_DEF,57,128,,unmatched,0.0910,,,0,0,,0,,0,
ArenaParam,IN_USE,42,96,ArenaParam,name+size,0.9762,,,0,0,,0,,0,
AssetEnvironmentGeometryParam,IN_USE,5116,344,AssetGeometryParam,size-only,1.0000,,,0,0,,0,,0,
AssetMaterialSfxParam,IN_USE,44,128,AssetMaterialSfxParam,name+size,0.1591,,,0,0,,0,,0,
AssetModelSfxParam,IN_USE,364,128,AssetModelSfxParam,name+size,0.9918,,,0,0,,0,,0,
AssetTranscriptionParam,IN_USE,288,24,AssetTranscriptionParam,name+size,1.0000,,,0,0,,0,,0,
AtkNpcOperationPartsParam,IN_USE,45,32,AtkNpcOperationPartsParam,name+size,0.4222,,,0,0,,0,,0,
AtkOperationPartsParam,IN_USE,94,48,AtkOperationPartsParam,name+size,0.3404,,,0,0,,0,,0,
AtkParam_Npc,IN_USE,1748,1040,AtkParam,name+size,0.9628,,,0,0,,0,,1,
AtkParam_Pc,IN_USE,712,1040,AtkParam,name+size,0.9719,,,0,0,,0,,1,
AttachObj_Npc,IN_USE,29,544,AttachObjParam,size-only,0.9655,,,0,0,,0,,0,
AttachObj_Pc,IN_USE,4,544,AttachObjParam,size-only,0.7500,,,0,0,,0,,0,
AttackActionParam_NPC,IN_USE,1371,100,AttackActionParam,name+size,1.0000,,,0,0,,0,,0,
AttackActionParam_PC,IN_USE,418,100,AttackActionParam,name+size,0.9833,,,0,0,,0,,0,
AutoAssembleEvaluate,NO_DEF,20,16,,unmatched,0.3250,,,0,0,,0,,0,
BehaviorChangeStateMatrixParam,IN_USE,227,32,BehaviorChangeStateMatrixParam,name+size,0.3436,,,0,0,,0,,0,
BehaviorParam,IN_USE,3069,208,BehaviorParam,name+size,1.0000,,,0,0,,0,,0,
BehaviorParam_PC,IN_USE,722,208,BehaviorParam,name+size,1.0000,,,0,0,,0,,0,
BladeHomingAngSpeedParam,IN_USE,177,64,BladeHomingAngSpeedParam,name+size,1.0000,,,0,0,,0,,0,
BladeHomingAutoCancelEnableParam,IN_USE,38,60,BladeHomingAutoCancelEnableParam,name+size,1.0000,,,0,0,,0,,0,
BladeHomingParam,IN_USE,10,64,BladeHomingParam,name+size,0.9000,,,0,0,,0,,0,
BonfireWarpParam,IN_USE,15,32,BonfireWarpParam,name+size,1.0000,,,0,0,,0,,0,
BoostParam,IN_USE,2,128,BoostParam,name+size,1.0000,,,0,0,,0,,0,
BudgetParam,IN_USE,1,136,BudgetParam,name(size diff -4),1.0000,,,0,0,,0,,0,
Bullet,IN_USE,568,888,BulletParam,name+size,1.0000,HitBulletID,BULLET,206,206,1.0000,201,,9,
BulletCreateLimitParam,IN_USE,2,32,BulletCreateLimitParam,name+size,0.5000,,,0,0,,0,,0,
BulletShotgunParam_NPC,IN_USE,91,444,BulletShotgunParam,name+size,0.7363,,,0,0,,0,,0,
BulletShotgunParam_PC,IN_USE,81,444,BulletShotgunParam,name+size,0.8025,,,0,0,,0,,0,
Bullet_Npc,IN_USE,2539,888,BulletParam,size-only,1.0000,HitBulletID,BULLET,1356,1377,0.9847,827,,9,
BuoyancyParam,IN_USE,4,40,BuoyancyParam,name+size,0.7500,,,0,0,,0,,0,
CalcCorrectGraph,IN_USE,169,80,CalcCorrectGraph,name+size,0.9882,,,0,0,,0,,0,
CartridgeBehaviorParam,IN_USE,78,72,CartridgeBehaviorParam,name+size,0.9872,,,0,0,,0,,0,
CharaInitParam,IN_USE,802,404,CharaInitParam,name+size,0.9676,,,0,0,,0,,0,
ChrActTurnParam,IN_USE,258,168,ChrActTurnParam,name+size,1.0000,,,0,0,,0,,0,
ChrActTurnParam_Npc,IN_USE,2124,168,ChrActTurnParam,name+size,0.9934,,,0,0,,0,,0,
ChrHitMaterialCheckParam,IN_USE,2,256,ChrHitMaterialCheckParam,name+size,0.5000,,,0,0,,0,,0,
ChrModelParam,IN_USE,62,12,ChrModelParam,name+size,0.9839,,,0,0,,0,,0,
ChrProxyPhysicsParam,IN_USE,1,72,CartridgeBehaviorParam,size-only,1.0000,,,0,0,,0,,0,
CompanyContributePointParam,IN_USE,26,32,CompanyContributePointParam,name+size,0.3077,,,0,0,,0,,0,
CoolTimeParam,IN_USE,40,32,CoolTimeParam,name+size,1.0000,,,0,0,,0,,0,
