[13:02:34] ==== AC6 FBX 导出开始 | blender 5.2.2 LTS ====
[13:02:34] [EXPORT] 1/28 4% SM_AC6_Torso -> SM_AC6_Torso.fbx (264.8 KB)  (8.97件/s, ETA 3s, 错误 0)
[13:02:34] [EXPORT] 2/28 7% SM_AC6_Torso_LOD1 -> SM_AC6_Torso_LOD1.fbx (103.9 KB)  (16.39件/s, ETA 2s, 错误 0)
[13:02:34] [EXPORT] 3/28 11% SM_AC6_Torso_LOD2 -> SM_AC6_Torso_LOD2.fbx (31.7 KB)  (23.30件/s, ETA 1s, 错误 0)
[13:02:34] [EXPORT] 4/28 14% SM_AC6_Head -> SM_AC6_Head.fbx (61.7 KB)  (29.19件/s, ETA 1s, 错误 0)
[13:02:34] [EXPORT] 5/28 18% SM_AC6_Head_LOD1 -> SM_AC6_Head_LOD1.fbx (40.9 KB)  (34.53件/s, ETA 1s, 错误 0)
[13:02:34] [EXPORT] 6/28 21% SM_AC6_Head_LOD2 -> SM_AC6_Head_LOD2.fbx (25.7 KB)  (39.76件/s, ETA 1s, 错误 0)
[13:02:34] [EXPORT] 7/28 25% SM_AC6_Backpack -> SM_AC6_Backpack.fbx (184.4 KB)  (42.20件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 8/28 29% SM_AC6_Backpack_LOD1 -> SM_AC6_Backpack_LOD1.fbx (116.2 KB)  (45.22件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 9/28 32% SM_AC6_Backpack_LOD2 -> SM_AC6_Backpack_LOD2.fbx (44.5 KB)  (48.79件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 10/28 36% SM_AC6_LegL -> SM_AC6_LegL.fbx (351.9 KB)  (48.42件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 11/28 39% SM_AC6_LegL_LOD1 -> SM_AC6_LegL_LOD1.fbx (164.4 KB)  (50.29件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 12/28 43% SM_AC6_LegL_LOD2 -> SM_AC6_LegL_LOD2.fbx (34.3 KB)  (53.33件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 13/28 46% SM_AC6_LegR -> SM_AC6_LegR.fbx (373.3 KB)  (52.58件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 14/28 50% SM_AC6_LegR_LOD1 -> SM_AC6_LegR_LOD1.fbx (172.6 KB)  (54.03件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 15/28 54% SM_AC6_LegR_LOD2 -> SM_AC6_LegR_LOD2.fbx (34.4 KB)  (56.57件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 16/28 57% SM_AC6_ArmL -> SM_AC6_ArmL.fbx (138.9 KB)  (57.86件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 17/28 61% SM_AC6_ArmL_LOD1 -> SM_AC6_ArmL_LOD1.fbx (73.0 KB)  (59.65件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 18/28 64% SM_AC6_ArmL_LOD2 -> SM_AC6_ArmL_LOD2.fbx (25.3 KB)  (61.95件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 19/28 68% SM_AC6_ArmR -> SM_AC6_ArmR.fbx (148.5 KB)  (62.90件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 20/28 71% SM_AC6_ArmR_LOD1 -> SM_AC6_ArmR_LOD1.fbx (76.8 KB)  (64.40件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 21/28 75% SM_AC6_ArmR_LOD2 -> SM_AC6_ArmR_LOD2.fbx (25.4 KB)  (66.49件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 22/28 79% SM_AC6_GunL -> SM_AC6_GunL.fbx (76.5 KB)  (67.89件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 23/28 82% SM_AC6_GunL_LOD1 -> SM_AC6_GunL_LOD1.fbx (36.7 KB)  (69.57件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 24/28 86% SM_AC6_GunL_LOD2 -> SM_AC6_GunL_LOD2.fbx (23.5 KB)  (71.51件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 25/28 89% SM_AC6_GunR -> SM_AC6_GunR.fbx (81.6 KB)  (72.58件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 26/28 93% SM_AC6_GunR_LOD1 -> SM_AC6_GunR_LOD1.fbx (38.1 KB)  (74.09件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 27/28 96% SM_AC6_GunR_LOD2 -> SM_AC6_GunR_LOD2.fbx (23.6 KB)  (75.83件/s, ETA 0s, 错误 0)
[13:02:34] [EXPORT] 28/28 100% AC6Mech_Assembled.fbx (1558.7 KB)  (66.20件/s, ETA 0s, 错误 0)
[13:02:34] 导出结束 | 错误 0 | 用时 0.4s
